title,runtime,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,INA,Non INA
Ada Apa dengan Cinta 2,124,7.4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Gundala,123,7.6,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Bumi Manusia ,181,7.2,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
Dua Garis Biru,113,8.2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Dilan 1991,121,6.8,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Avengers: End Game,181,8.6,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
The Lion King,118,7.1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
Aladdin,128,7.1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
Spiderman: Far From Home,129,7.8,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
Captain Marvel,124,7,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
